E,flux_spectrum,lambda_B,lambda_hep
0.018784,0.011625364000000001,0.0,1.4753e-06
0.037567,0.046410836,0.0,5.8897e-06
0.056351,0.10422088,0.0,1.3226e-05
0.075135,0.18491996,0.0,2.3467e-05
0.093919,0.2883686,0.0,3.6595e-05
0.1127,1489.9601907199997,0.00028372299999999994,5.2594e-05
0.13149,2031.6835194799999,0.00038688009999999996,7.1446e-05
0.15027,2573.1409787999996,0.0004899822999999999,9.3135e-05
0.16905,3114.6206282,0.0005930845,0.00011764
0.18784,3656.410606,0.0006962416,0.00014495
0.20662,4267.791893999999,0.0008126499999999999,0.00017505
0.2254,5007.5133307999995,0.0009534999999999998,0.00020791
0.24419,5747.650266399999,0.0010944249999999998,0.00024353
0.26297,6487.414964399998,0.0012352749999999997,0.00028188
0.28176,7227.5947672,0.0013762,0.00032294
0.30054,7974.319574799998,0.0015183675999999996,0.00036671
0.31932,8954.719900799999,0.0017050407999999997,0.00041316
0.33811,9935.6631952,0.0018918134000000001,0.00046229
0.35689,10916.105442799999,0.0020784866,0.00051406
0.37567,11896.5684148,0.0022651598,0.00056846
0.39446,12877.573961199998,0.0024519323999999997,0.00062549
0.41324,14040.1942668,0.0026732944,0.00068511
0.43203,15279.697081600001,0.0029092968000000003,0.00074732
0.45081,16518.560669199996,0.0031451735999999996,0.00081209
0.46959,17757.444429600004,0.0033810504,0.00087942
0.48838,18997.007605199997,0.0036170527999999993,0.00094929
0.50716,20318.629396000004,0.0038686816000000008,0.0010217
0.52594,21774.481807999997,0.004145874399999999,0.0010966
0.54473,23231.128032,0.0044232148,0.0011739
0.56351,24687.019844,0.0047004075999999995,0.0012538
0.5823,26143.705468000004,0.004977748000000001,0.0013361
0.60108,27610.918403999996,0.005257089999999999,0.0014208
0.61986,29263.071002,0.005571655,0.0015079
0.63865,30916.122675000006,0.005886387500000001,0.0015975
0.65743,32568.313097,0.0062009525,0.0016894
0.67621,34220.522431,0.0065155175,0.0017837
0.695,35873.630052,0.0068302499999999995,0.0018804
0.71378,37658.26777200001,0.0071700324,0.0019794
0.73257,39491.93735400001,0.0075191506000000016,0.0020808
0.75135,41324.648821999996,0.007868083,0.0021844
0.77013,43157.379202,0.0082170154,0.0022904
0.78892,44991.102368,0.0085661336,0.0023986
0.8077,46891.78142,0.008928001999999999,0.002509
0.82648,48890.204983999996,0.009308484799999999,0.0026218
0.84527,50889.708746000004,0.0096891702,0.0027367
0.86405,52888.166981999995,0.010069653,0.0028539
0.88284,54887.70541599999,0.010450338399999998,0.0029732
0.90162,56899.12592400001,0.0108332836,0.0030948
0.9204,59047.499780000006,0.011242312,0.0032185
0.93919,61197.03363400001,0.0116515582,0.0033443
0.95797,63345.44137400001,0.012060586600000001,0.0034723
0.97675,65493.86566200001,0.012469615000000002,0.0036024
0.99554,67643.44994800001,0.012878861200000001,0.0037346
1.0143,69893.22472000001,0.013307188000000001,0.003869
1.0331,72180.19076399998,0.013742595999999998,0.0040053
1.0519,74467.174144,0.014178004000000001,0.0041438
1.0707,76754.172496,0.014613412,0.0042842
1.0895,79041.18739599998,0.015048819999999996,0.0044267
1.1082,81370.732556,0.015492326,0.0045712
1.127,83783.12797599999,0.015951609999999998,0.0047177
1.1458,86195.539156,0.016410894,0.0048662
1.1646,88607.96609600002,0.016870178000000003,0.0050167
1.1834,91020.408008,0.017329462,0.0051691
1.2022,93446.031892,0.017791254,0.0053234
1.2209,95957.59828600004,0.018269413000000005,0.0054797
1.2397,98482.60311400001,0.018750129,0.0056378
1.2585,101007.623702,0.019230845,0.0057979
1.2773,103532.65847400003,0.019711561000000002,0.0059598
1.2961,106057.70821800001,0.020192277,0.0061236
1.3149,108661.779396,0.020688042,0.0062892
1.3336,111272.59079599999,0.021185087999999998,0.0064567
1.3524,113897.37088000002,0.021684792,0.006626
1.3712,116522.16514799999,0.022184495999999998,0.0067971
1.39,119146.97281199999,0.022684199999999998,0.0069699
1.4088,121813.83666000002,0.023191912000000002,0.0071445
1.4276,124528.489692,0.023708724,0.0073209
1.4463,127228.724658,0.024222787,0.0074991
1.4651,129943.40448200003,0.024739599000000004,0.0076789
1.4839,132658.09849,0.025256411000000003,0.0078605
1.5027,135384.145106,0.025775383000000002,0.0080437
1.5215,138177.825906,0.026307235000000005,0.0082287
1.5403,140971.519314,0.026839087,0.0084153
1.559,143750.37308,0.027368109999999998,0.0086035
1.5778,146544.09249200003,0.027899962,0.0087934
1.5966,149337.82529999997,0.028431813999999996,0.008985
1.6154,152188.16492799998,0.028974445999999994,0.0091781
1.6342,155051.012164,0.029519458,0.0093728
1.653,157913.87200799998,0.030064469999999996,0.0095691
1.6718,160776.74446,0.030609481999999997,0.009767
1.6905,163624.40976999997,0.031151594999999994,0.0099665
1.7093,166516.59771,0.031702187,0.010167
1.7281,169438.73035,0.032258479,0.01037
1.7469,172360.87086999996,0.03281477099999999,0.010574
1.7657,175283.01927,0.033371063,0.010779
1.7845,178205.18342999998,0.033927355,0.010986
1.8032,181120.22859999997,0.03448228799999999,0.011195
1.822,184091.7664,0.03504798,0.011405
1.8408,187063.31208,0.035613672,0.011616
1.8596,190034.87352,0.036179364,0.011829
1.8784,193006.44284000003,0.036745056000000005,0.012043
1.8972,195978.02792000002,0.037310748000000005,0.012259
1.9159,198969.71788,0.037880268,0.012476
1.9347,201983.75972000003,0.03845404400000001,0.012694
1.9535,204997.81732000003,0.039027820000000005,0.012914
1.9723,208011.88280000002,0.039601596,0.013135
1.9911,211025.95616000003,0.04017537200000001,0.013357
2.0099,214056.67728,0.040752316000000004,0.013581
2.0286,217086.16728,0.041329024,0.013806
2.0474,220131.85616000002,0.041908816,0.014032
2.0662,223177.55292,0.042488608,0.014259
2.085,226223.26544000002,0.0430684,0.014488
2.1038,229273.97334000003,0.043649142,0.014718
2.1226,232344.37661999997,0.044233633999999994,0.014949
2.1413,235398.47341,0.044815017000000006,0.015182
2.1601,238468.90032999995,0.04539950899999999,0.015416
2.1789,241539.32724999997,0.045984001,0.01565
2.1977,244609.76993,0.046568493,0.015886
2.2165,247695.82086999997,0.04715595499999999,0.016124
2.2353,250784.04531,0.047743831,0.016362
2.254,253855.86876,0.04832858,0.016602
2.2728,256944.10896000007,0.04891645600000001,0.016842
2.2916,260032.36492000002,0.049504332000000005,0.017084
2.3104,263125.54276000004,0.05009314400000001,0.017327
2.3292,266222.6974800001,0.05068271200000001,0.017571
2.348,269319.86008,0.05127228,0.017816
2.3668,272417.03056,0.051861848,0.018062
2.3855,275497.74491999997,0.05244828,0.018309
2.4043,278595.38266,0.053037934,0.018557
2.4231,281694.55078,0.053627878,0.018806
2.4419,284793.72677999997,0.054217822,0.019056
2.4607,287892.91854000004,0.054807766,0.019308
2.4795,290992.11029999994,0.05539770999999999,0.01956
2.4982,294074.83544,0.055984516,0.019813
2.517,297169.58045999997,0.05657360999999999,0.020067
2.5358,300263.86085999996,0.057162613999999994,0.020322
2.5546,303358.14914,0.057751618,0.020578
2.5734,306452.44529999996,0.058340621999999995,0.020835
2.5922,309546.74934,0.058929626,0.021093
2.6109,312618.31038,0.05951429799999999,0.021351
2.6297,315701.77317999996,0.060101233999999996,0.021611
2.6485,318785.2359799999,0.060688169999999986,0.021871
2.6673,321868.71454,0.061275105999999996,0.022133
2.6861,324952.1931,0.061862042,0.022395
2.7049,328031.3062899999,0.06244814499999999,0.022658
2.7236,331081.71248,0.06302877999999999,0.022921
2.7424,334148.43568,0.06361251999999999,0.023186
2.7612,337215.15888000006,0.06419626,0.023451
2.78,340281.89784,0.06478,0.023718
2.7988,343348.62892,0.06536374,0.023984
2.8176,346393.19976000005,0.065943256,0.024252
2.8363,349420.09123,0.066519403,0.024521
2.8551,352463.15795,0.067098631,0.02479
2.8739,355506.23255,0.067677859,0.02506
2.8927,358549.30715000007,0.06825708700000001,0.02533
2.9115,361574.27713,0.06883286500000001,0.025601
2.9303,364587.75748999993,0.06940645299999999,0.025873
2.949,367585.22798,0.06997699,0.026146
2.9678,370598.71622,0.070550578,0.026419
2.9866,373612.21234,0.071124166,0.026693
3.0054,376615.79383999994,0.071695864,0.026968
3.0242,379594.75284000003,0.072262872,0.027243
3.043,382573.71972,0.07282988,0.027519
3.0617,385536.8526,0.073393872,0.027795
3.0805,388515.82735999994,0.07396087999999999,0.028072
3.0993,391494.81,0.074527888,0.02835
3.1181,394436.73289,0.075087837,0.028628
3.1369,397377.22252999997,0.07564751299999999,0.028906
3.1557,400317.72792999994,0.076207189,0.029186
3.1745,403258.22545,0.076766865,0.029465
3.1932,406183.10948,0.077323564,0.029746
3.212,409094.00488,0.0778776,0.030026
3.2308,411988.13703999994,0.07842843999999999,0.030308
3.2496,414882.26132,0.07897928,0.030589
3.2684,417776.4013600001,0.07953012000000001,0.030872
3.2872,420670.53352000006,0.08008096,0.031154
3.3059,423534.12119,0.080625979,0.031438
3.3247,426379.89823,0.081167607,0.031721
3.3435,429225.68315,0.081709235,0.032005
3.3623,432071.46807000006,0.08225086300000001,0.032289
3.3811,434917.26087000006,0.08279249100000001,0.032574
3.3999,437763.05367000005,0.08333411900000001,0.032859
3.4186,440540.9981000001,0.08386282200000002,0.033145
3.4374,443333.50078000006,0.084394298,0.033431
3.4562,446126.00346000004,0.08492577400000001,0.033717
3.475,448918.51402000006,0.08545725000000001,0.034004
3.4938,451711.02458,0.085988726,0.034291
3.5126,454463.84514,0.086512642,0.034578
3.5313,457182.61682999996,0.087030071,0.034866
3.5501,459915.91527,0.087550267,0.035154
3.5689,462649.21371,0.088070463,0.035442
3.5877,465382.5200299999,0.08859065899999999,0.035731
3.6065,468094.31971999997,0.08910676,0.036019
3.6253,470765.44503999996,0.089615112,0.036308
3.644,473422.38224000006,0.09012076000000001,0.036598
3.6628,476093.50756,0.090629112,0.036887
3.6816,478764.64076,0.091137464,0.037177
3.7004,481434.36696,0.09164554800000001,0.037467
3.7192,484039.37116000004,0.09214130400000001,0.037757
3.738,486644.37536000006,0.09263706000000001,0.038047
3.7567,489235.54319,0.09313017900000001,0.038338
3.7755,491840.55527000007,0.09362593500000001,0.038629
3.7943,494445.56735,0.09412169100000001,0.03892
3.8131,497002.43693,0.094608277,0.039211
3.8319,499538.35901,0.095090873,0.039502
3.8507,502074.28109,0.095573469,0.039793
3.8694,504596.7343,0.096053498,0.040085
3.8882,507132.65637999994,0.09653609399999999,0.040376
3.907,509641.0238399999,0.09701343999999999,0.040668
3.9258,512102.92880000005,0.097481936,0.04096
3.9446,514564.8258799999,0.09795043199999999,0.041251
3.9634,517026.73084000003,0.098418928,0.041543
3.9822,519488.63580000005,0.098887424,0.041835
4.0009,521933.81951,0.099352735,0.042127
4.0197,524319.7254700001,0.09980675500000001,0.042419
4.0385,526705.63143,0.100260775,0.042711
4.0573,529091.54527,0.100714795,0.043004
4.0761,531477.45123,0.10116881500000001,0.043296
4.0949,533863.3571899999,0.101622835,0.043588
4.1136,536179.4643999999,0.10206356,0.04388
4.1324,538486.41036,0.10250253999999999,0.044172
4.1512,540793.3563200001,0.10294152000000001,0.044464
4.17,543100.30228,0.1033805,0.044756
4.1888,545407.2482399999,0.10381947999999999,0.045048
4.2076,547680.6782000001,0.10425207600000001,0.04534
4.2263,549892.89841,0.10467301300000001,0.045632
4.2451,552116.92849,0.105096201,0.045923
4.2639,554340.96645,0.10551938899999999,0.046215
4.2827,556565.00441,0.10594257700000001,0.046507
4.3015,558782.26199,0.106364475,0.046798
4.3203,560921.41007,0.106771495,0.047089
4.339,563049.19978,0.10717635,0.047381
4.3578,565188.34786,0.10758337,0.047672
4.3766,567327.4959399999,0.10799038999999999,0.047963
4.3954,569466.63614,0.10839741,0.048253
4.4142,571540.18022,0.10879193399999999,0.048544
4.433,573592.4644199999,0.10918240999999998,0.048834
4.4517,575633.8522499999,0.10957080899999999,0.049125
4.4705,577686.13645,0.10996128499999999,0.049415
4.4893,579738.4206499999,0.11035176099999999,0.049705
4.5081,581751.9992199999,0.11073486599999999,0.049994
4.5269,583714.46642,0.111108234,0.050284
4.5457,585676.92574,0.111481602,0.050573
4.5644,587628.9585599999,0.111852984,0.050862
4.5832,589591.41788,0.112226352,0.051151
4.602,591543.9993200002,0.11259784000000002,0.051439
4.6208,593413.67276,0.11295353600000001,0.051727
4.6396,595283.3462,0.113309232,0.052015
4.6584,597153.0196400001,0.11366492800000001,0.052303
4.6771,599012.7522,0.114018732,0.05259
4.6959,600882.41776,0.114374428,0.052877
4.7147,602679.53882,0.11471630599999999,0.053164
4.7335,604456.4185,0.11505433000000001,0.05345
4.7523,606233.2981799999,0.115392354,0.053736
4.7711,608010.17786,0.115730378,0.054022
4.7899,609787.04966,0.11606840200000001,0.054307
4.8086,611510.6864600001,0.11639628600000002,0.054592
4.8274,613191.81926,0.116716074,0.054877
4.8462,614872.94418,0.11703586199999999,0.055161
4.865,616554.0691,0.11735565,0.055445
4.8838,618235.1940199999,0.117675438,0.055729
4.9026,619902.79756,0.11799265199999999,0.056012
4.9213,621477.7910999999,0.11829222599999999,0.056295
4.9401,623061.1872599999,0.118593402,0.056577
4.9589,624644.5834199999,0.11889457799999999,0.056859
4.9777,626227.9717,0.11919575399999999,0.05714
4.9965,627811.35998,0.11949693,0.057421
5.0153,629315.22651,0.119782959,0.057702
5.034,630793.00316,0.12006402,0.057982
5.0528,632278.67056,0.120346584,0.058262
5.0716,633764.33008,0.120629148,0.058541
5.0904,635249.98172,0.120911712,0.058819
5.1092,636686.37524,0.121184892,0.059098
5.128,638071.345,0.12144828,0.059375
5.1467,639448.96739,0.121710267,0.059653
5.1655,640833.92927,0.12197365499999999,0.059929
5.1843,642218.89115,0.122237043,0.060205
5.2031,643587.0897799999,0.122497238,0.060481
5.2219,644870.38278,0.12274126199999999,0.060756
5.2407,646153.67578,0.122985286,0.061031
5.2594,647430.1464,0.123228012,0.061305
5.2782,648713.42364,0.123472036,0.061578
5.297,649996.7008799999,0.12371605999999999,0.061851
5.3158,651195.36124,0.123943968,0.062123
5.3346,652377.9566,0.12416881599999999,0.062395
5.3534,653560.5440799999,0.12439366399999999,0.062666
5.3721,654736.84468,0.12461731599999999,0.062936
5.3909,655919.4242799999,0.12484216399999999,0.063206
5.4097,657048.5326299999,0.12505682699999998,0.063476
5.4285,658127.46147,0.125261935,0.063744
5.4473,659206.3903099999,0.125467043,0.064012
5.4661,660285.31915,0.125672151,0.06428
5.4848,661358.5044800001,0.125876168,0.064546
5.5036,662417.57256,0.126077496,0.064812
5.5224,663392.85064,0.126262864,0.065078
5.5412,664368.1208400001,0.12644823200000002,0.065343
5.56,665343.38316,0.1266336,0.065607
5.5788,666318.6376,0.126818968,0.06587
5.5976,667293.89204,0.127004336,0.066133
5.6163,668174.1083499999,0.127171603,0.066395
5.6351,669045.7120299999,0.127337231,0.066656
5.6539,669917.31571,0.127502859,0.066917
5.6727,670788.90363,0.127668487,0.067176
5.6915,671660.49943,0.127834115,0.067436
5.7103,672474.21922,0.127988722,0.067694
5.729,673236.12676,0.12813346,0.067952
5.7478,674002.08992,0.128278972,0.068209
5.7666,674768.0452,0.128424484,0.068465
5.7854,675533.9925999999,0.128569996,0.06872
5.8042,676276.567,0.128711056,0.068975
5.823,676937.88452,0.12883664,0.069229
5.8417,677595.68716,0.128961556,0.069482
5.8605,678256.98892,0.12908714,0.069734
5.8793,678918.2827999999,0.129212724,0.069985
5.8981,679579.5766799999,0.12933830799999999,0.070236
5.9169,680147.7014299999,0.12944614699999998,0.070486
5.9357,680705.3445499999,0.12955199099999998,0.070735
5.9544,681260.0240399999,0.129657272,0.070983
5.9732,681817.6592799999,0.12976311599999998,0.071231
5.992,682375.2787599999,0.12986895999999998,0.071477
6.0108,682871.6622399999,0.12996313999999998,0.071723
6.0296,683322.6778399999,0.13004868,0.071968
6.0484,683773.68556,0.13013422,0.072212
6.0671,684222.29665,0.130219305,0.072455
6.0859,684673.28861,0.130304845,0.072697
6.1047,685098.37182,0.13038545,0.072939
6.1235,685445.7130200001,0.13045125000000002,0.073179
6.1423,685793.0542199999,0.13051705,0.073419
6.1611,686140.38754,0.13058285,0.073658
6.1798,686485.8676,0.1306483,0.073895
6.1986,686833.18516,0.1307141,0.074132
6.2174,687083.6638399999,0.130761456,0.074368
6.2362,687326.34364,0.130807328,0.074603
6.255,687569.02344,0.1308532,0.074838
6.2738,687811.6874800001,0.130899072,0.075071
6.2926,688054.34364,0.130944944,0.075303
6.3113,688232.8343,0.130978594,0.075535
6.3301,688370.8526999999,0.131004538,0.075765
6.3489,688508.8632199999,0.131030482,0.075994
6.3677,688646.87374,0.131056426,0.076223
6.3865,688784.8685,0.13108237,0.07645
6.4053,688893.64701,0.131102749,0.076677
6.424,688927.8256399999,0.13110892,0.076903
6.4428,688962.1617599998,0.13111512399999997,0.077127
6.4616,688996.4978799999,0.13112132799999998,0.077351
6.4804,689030.82612,0.131127532,0.077574
6.4992,689065.1385999998,0.13113373599999997,0.077795
6.518,689001.1710799999,0.13112121999999998,0.078016
6.5367,688933.1925499998,0.13110794299999998,0.078235
6.5555,688864.8412699999,0.13109459499999998,0.078454
6.5743,688796.4742299998,0.13108124699999998,0.078671
6.5931,688728.1071899999,0.131067899,0.078888
6.6119,688594.75039,0.13104217499999998,0.079103
6.6307,688423.7195899999,0.13100927499999998,0.079318
6.6494,688253.5917799999,0.13097655,0.079531
6.6682,688082.54522,0.13094365,0.079744
6.687,687911.4829,0.13091075,0.079955
6.7058,687709.3537,0.130871934,0.080165
6.7246,687437.6016200001,0.130819858,0.080374
6.7434,687165.8416599999,0.130767782,0.080582
6.7621,686895.5280699999,0.13071598299999998,0.080789
6.7809,686623.75235,0.130663907,0.080995
6.7997,686351.96875,0.13061183099999998,0.0812
6.8185,685981.1097699999,0.13054088499999997,0.081404
6.8373,685608.6364099999,0.13046963299999997,0.081607
6.8561,685236.1472899999,0.13039838099999998,0.081808
6.8748,684865.6479199999,0.13032750799999998,0.082009
6.8936,684493.1430399999,0.130256256,0.082208
6.9124,684054.8792799999,0.13017247999999998,0.082406
6.9312,683582.6716399998,0.13008224,0.082603
6.95,683110.45612,0.129992,0.082799
6.9688,682638.23272,0.12990176,0.082994
6.9875,682168.52144,0.129812,0.083188
7.0063,681663.8609,0.129715586,0.08338
7.0251,681094.88786,0.129606922,0.083572
7.0439,680525.89906,0.129498258,0.083762
7.0627,679956.90238,0.129389594,0.083951
7.0815,679387.8978200001,0.12928093000000002,0.084139
7.1003,678817.32613,0.129171969,0.084326
7.119,678154.1391800002,0.12904537000000002,0.084511
7.1378,677487.3979800001,0.128918094,0.084696
7.1566,676820.6410200002,0.12879081800000003,0.084879
7.1754,676153.87618,0.12866354200000002,0.085061
7.1942,675487.1034600001,0.12853626600000004,0.085242
7.213,674754.7949800001,0.12839651000000002,0.085421
7.2317,673997.3127500002,0.12825195900000003,0.0856
7.2505,673235.7565100001,0.12810663500000002,0.085777
7.2693,672474.1923900001,0.12796131100000002,0.085953
7.2881,671712.6203899999,0.127815987,0.086128
7.3069,670916.62676,0.127664108,0.086302
7.3257,670061.2661199999,0.127500924,0.086474
7.3444,669210.4545999999,0.127338608,0.086645
7.3632,668355.0782,0.127175424,0.086815
7.382,667499.69392,0.12701224,0.086984
7.4008,666640.3878799999,0.126848312,0.087151
7.4196,665693.19684,0.126667644,0.087318
7.4384,664745.99004,0.126486976,0.087483
7.4571,663803.82061,0.126307269,0.087647
7.4759,662856.5901700001,0.126126601,0.087809
7.4947,661909.3518500001,0.125945933,0.08797
7.5135,660897.6094000001,0.12575298000000001,0.08813
7.5323,659860.53832,0.125555204,0.088289
7.5511,658823.4593600001,0.12535742800000002,0.088447
7.5698,657791.8876400001,0.125160704,0.088603
7.5886,656754.7850400001,0.12496292800000001,0.088758
7.6074,655682.7016799999,0.124758492,0.088911
7.6262,654556.75332,0.124543796,0.089064
7.645,653430.7892,0.12432910000000001,0.089215
7.6638,652304.8172,0.124114404,0.089365
7.6825,651184.82494,0.12390084999999999,0.089513
7.7013,650052.8233,0.12368501,0.08966
7.7201,648839.96378,0.12345376999999999,0.089806
7.7389,647627.09638,0.12322253,0.089951
7.7577,646414.2132199999,0.12299129,0.090094
7.7765,645201.3221799999,0.12276005,0.090236
7.7952,643994.8807600001,0.12253004,0.090377
7.814,642719.49108,0.1222869,0.090516
7.8328,641422.6735200001,0.12203968000000001,0.090654
7.8516,640125.84808,0.12179246,0.090791
7.8704,638829.00688,0.12154524,0.090926
7.8892,637532.1577999999,0.12129802,0.09106
7.908,636200.4408399999,0.12104416,0.091193
7.9267,634828.9944999999,0.120782734,0.091325
7.9455,633450.1929,0.12051991,0.091455
7.9643,632071.3755399999,0.120257086,0.091583
7.9831,630692.5581799999,0.11999426199999999,0.091711
8.0019,629305.54556,0.11972988,0.091837
8.0207,627845.76268,0.11945164,0.091961
8.0394,626393.7497999999,0.11917487999999998,0.092085
8.0582,624933.95116,0.11889664000000001,0.092207
8.077,623474.13676,0.1186184,0.092327
8.0958,622014.32236,0.11834016,0.092447
8.1146,620494.7052000001,0.11805053200000001,0.092565
8.1334,618957.87328,0.117757628,0.092681
8.1521,617429.21298,0.11746628199999999,0.092796
8.1709,615892.3653000001,0.11717337800000001,0.09291
8.1897,614355.5018599998,0.11688047399999998,0.093022
8.2085,612784.7155399999,0.11658110999999997,0.093133
8.2273,611172.8243399999,0.116273918,0.093243
8.2461,609560.91738,0.11596672599999999,0.093351
8.2648,607957.5810400001,0.11566116800000001,0.093458
8.2836,606345.65832,0.11535397600000001,0.093564
8.3024,604724.39584,0.115045008,0.093668
8.3212,603039.4036000001,0.11472390400000002,0.09377
8.34,601354.41136,0.11440280000000001,0.093872
8.3588,599669.40336,0.114081696,0.093972
8.3775,597993.3466000002,0.11376230000000002,0.09407
8.3963,596308.3149600001,0.11344119600000001,0.094167
8.4151,594566.99019,0.113109371,0.094263
8.4339,592811.85791,0.11277491900000002,0.094357
8.4527,591056.71775,0.112440467,0.09445
8.4715,589301.56183,0.11210601499999999,0.094541
8.4902,587555.74566,0.11177334200000001,0.094632
8.509,585767.9635999999,0.11143267999999999,0.09472
8.5278,583944.6731600001,0.11108525600000002,0.094807
8.5466,582121.3748400001,0.11073783200000001,0.094893
8.5654,580298.06864,0.110390408,0.094978
8.5842,578474.7388,0.11004298400000001,0.09506
8.6029,576651.2147099999,0.10969552299999999,0.095142
8.6217,574763.71411,0.10933587899999998,0.095222
8.6405,572876.20563,0.108976235,0.095301
8.6593,570988.6813899999,0.10861659099999998,0.095378
8.6781,569101.1492699998,0.10825694699999996,0.095454
8.6969,567213.60139,0.10789730299999999,0.095528
8.7157,565274.1178799999,0.10752776799999998,0.095601
8.7344,563334.7393599998,0.10715825599999997,0.095672
8.7532,561384.97896,0.106786768,0.095742
8.772,559435.21068,0.10641528,0.095811
8.7908,557485.42664,0.106043792,0.095878
8.8096,555505.89872,0.10566664000000002,0.095944
8.8284,553497.8580400001,0.10528406000000001,0.096008
8.8471,551500.4932300001,0.10490351500000003,0.096071
8.8659,549492.42891,0.10452093500000001,0.096132
8.8847,547484.35671,0.104138355,0.096192
8.9035,545465.6191300001,0.10375374500000002,0.096251
8.9223,543400.27729,0.10336026100000001,0.096308
8.9411,541334.91969,0.102966777,0.096363
8.9598,539280.5503400001,0.102575386,0.096418
8.9786,537215.1690999999,0.10218190199999999,0.09647
8.9974,535149.7799799999,0.10178841799999998,0.096521
9.0162,533038.45598,0.101386186,0.096571
9.035,530919.7452199999,0.10098254999999999,0.096619
9.0538,528801.02658,0.10057891399999998,0.096666
9.0725,526693.56393,0.100177425,0.096711
9.0913,524574.8216499999,0.09977378899999999,0.096755
9.1101,522429.5589900001,0.09936510300000002,0.096798
9.1289,520261.44307000004,0.098952067,0.096839
9.1477,518093.31138999993,0.09853903099999999,0.096878
9.1665,515925.17183000006,0.09812599500000001,0.096916
9.1852,513768.5586399999,0.09771515599999998,0.096953
9.204,511590.5254399998,0.09730023999999997,0.096988
