Recoil energy(MeV),rate,sigma_energy,sigma_event
3.74,0.476,0.25,0.048
4.24,0.450,0.25,0.024
4.74,0.476,0.25,0.018
5.24,0.452,0.25,0.011
5.74,0.442,0.25,0.009
6.24,0.442,0.25,0.010
6.74,0.448,0.25,0.011
7.24,0.443,0.25,0.012
7.74,0.448,0.25,0.010
8.24,0.435,0.25,0.010
8.74,0.429,0.25,0.011
9.24,0.424,0.25,0.012
9.74,0.420,0.25,0.012
10.24,0.429,0.25,0.014
10.74,0.433,0.25,0.016
11.24,0.424,0.25,0.018
11.74,0.456,0.25,0.020
12.24,0.433,0.25,0.024
12.74,0.421,0.25,0.028
13.24,0.434,0.25,0.036
13.99,0.465,0.5,0.035
14.99,0.483,0.5,0.062
17.49,0.349,2.0,0.090