energy,Pee_rate,error_up,error_down,energy_left,energy_right
4.74,0.453,0.043,0.042,4.49,4.99
5.24,0.43,0.023,0.022,4.99,5.49
5.74,0.449,0.018,0.018,5.49,5.99
6.24,0.444,0.015,0.015,5.99,6.49
6.74,0.461,0.016,0.015,6.49,6.99
7.24,0.476,0.016,0.016,6.99,7.49
7.74,0.457,0.017,0.016,7.49,7.99
8.24,0.431,0.017,0.016,7.99,8.49
8.74,0.454,0.018,0.017,8.49,8.99
9.24,0.464,0.019,0.019,8.99,9.49
9.74,0.456,0.021,0.02,9.49,9.99
10.24,0.409,0.021,0.021,9.99,10.49
10.74,0.472,0.025,0.024,10.49,10.99
11.24,0.439,0.028,0.026,10.99,11.49
11.74,0.46,0.033,0.031,11.49,11.99
12.24,0.465,0.039,0.036,11.99,12.49
12.74,0.461,0.048,0.043,12.49,12.99
13.24,0.582,0.064,0.057,12.99,13.49
13.99,0.475,0.059,0.052,13.49,14.49
14.99,0.724,0.12,0.102,14.49,15.49
17.49,0.575,0.173,0.13,15.49,19.49