energy,Pee_rate
3.000000000000000000e+00,4.502586083189737964e-01
3.034068136272545235e+00,4.489482845668189559e-01
3.068136272545090026e+00,4.476487553732729774e-01
3.102204408817635262e+00,4.463599573069229054e-01
3.136272545090180497e+00,4.450818271268369153e-01
3.170340681362725288e+00,4.438143017825643688e-01
3.204408817635270523e+00,4.425573184141357586e-01
3.238476953907815759e+00,4.413108143520627635e-01
3.272545090180360550e+00,4.400747271173381381e-01
3.306613226452905785e+00,4.388489944214357674e-01
3.340681362725451020e+00,4.376335541663108342e-01
3.374749498997995811e+00,4.364283444443994853e-01
3.408817635270541047e+00,4.352333035386189986e-01
3.442885771543086282e+00,4.340483699223679492e-01
3.476953907815631073e+00,4.328734822595260989e-01
3.511022044088176308e+00,4.317085794044540625e-01
3.545090180360721543e+00,4.305536004019938634e-01
3.579158316633266779e+00,4.294084844874685447e-01
3.613226452905811570e+00,4.282731710866823915e-01
3.647294589178356805e+00,4.271475998159206533e-01
3.681362725450902040e+00,4.260317104819499878e-01
3.715430861723446831e+00,4.249254430820178507e-01
3.749498997995992067e+00,4.238287378038533282e-01
3.783567134268537302e+00,4.227415350256660265e-01
3.817635270541082093e+00,4.216637753161472935e-01
3.851703406813627328e+00,4.205953994344692748e-01
3.885771543086172564e+00,4.195363483302853025e-01
3.919839679358717355e+00,4.184865631437299505e-01
3.953907815631262590e+00,4.174459852054188680e-01
3.987975951903807825e+00,4.164145560364488352e-01
4.022044088176352616e+00,4.153922173483978186e-01
4.056112224448897408e+00,4.143789110433249157e-01
4.090180360721443087e+00,4.133745792137702990e-01
4.124248496993987878e+00,4.123791641427554389e-01
4.158316633266533557e+00,4.113926083037828807e-01
4.192384769539078349e+00,4.104148543608362454e-01
4.226452905811623140e+00,4.094458451683803402e-01
4.260521042084167931e+00,4.084855237713610476e-01
4.294589178356713610e+00,4.075338334052056033e-01
4.328657314629258401e+00,4.065907174958222070e-01
4.362725450901804081e+00,4.056561196596002450e-01
4.396793587174348872e+00,4.047299837034102898e-01
4.430861723446893663e+00,4.038122536246038230e-01
4.464929859719438454e+00,4.029028736110139564e-01
4.498997995991984133e+00,4.020017880409544331e-01
4.533066132264528925e+00,4.011089414832204603e-01
4.567134268537074604e+00,4.002242786970883204e-01
4.601202404809619395e+00,3.993477446323153157e-01
4.635270541082164186e+00,3.984792844291400460e-01
4.669338677354708977e+00,3.976188434182821307e-01
4.703406813627254657e+00,3.967663671209425424e-01
4.737474949899799448e+00,3.959218012488030514e-01
4.771543086172345127e+00,3.950850917040270027e-01
4.805611222444889918e+00,3.942561845792584840e-01
4.839679358717434710e+00,3.934350261576229357e-01
4.873747494989979501e+00,3.926215629127269291e-01
4.907815631262525180e+00,3.918157415086581663e-01
4.941883767535069971e+00,3.910175087999854249e-01
4.975951903807615651e+00,3.902268118317587242e-01
5.010020040080160442e+00,3.894435978395092146e-01
5.044088176352705233e+00,3.886678142492491217e-01
5.078156312625250024e+00,3.878994086774719130e-01
5.112224448897795703e+00,3.871383289311520759e-01
5.146292585170340494e+00,3.863845230077453397e-01
5.180360721442886174e+00,3.856379390951885089e-01
5.214428857715430965e+00,3.848985255718996856e-01
5.248496993987975756e+00,3.841662310067778252e-01
5.282565130260520547e+00,3.834410041592034579e-01
5.316633266533066227e+00,3.827227939790376343e-01
5.350701402805611018e+00,3.820115496066233129e-01
5.384769539078156697e+00,3.813072203727839171e-01
5.418837675350701488e+00,3.806097557988243896e-01
5.452905811623246279e+00,3.799191055965308594e-01
5.486973947895791071e+00,3.792352196681701981e-01
5.521042084168336750e+00,3.785580481064908520e-01
5.555110220440881541e+00,3.778875411947222318e-01
5.589178356713427220e+00,3.772236494065749346e-01
5.623246492985972012e+00,3.765663234062406328e-01
5.657314629258516803e+00,3.759155140483921853e-01
5.691382765531061594e+00,3.752711723781835818e-01
5.725450901803607273e+00,3.746332496312499982e-01
5.759519038076152064e+00,3.740016972337076862e-01
5.793587174348697744e+00,3.733764668021541944e-01
5.827655310621242535e+00,3.727575101436679805e-01
5.861723446893787326e+00,3.721447792558087442e-01
5.895791583166332117e+00,3.715382263266174268e-01
5.929859719438877796e+00,3.709378037346160450e-01
5.963927855711422588e+00,3.703434640488076912e-01
5.997995991983968267e+00,3.697551600286766993e-01
6.032064128256513058e+00,3.691728446241885342e-01
6.066132264529057849e+00,3.685964709757897362e-01
6.100200400801602640e+00,3.680259924144080319e-01
6.134268537074148320e+00,3.674613624614523899e-01
6.168336673346693111e+00,3.669025348288127431e-01
6.202404809619238790e+00,3.663494634188602106e-01
6.236472945891783581e+00,3.658021023244471537e-01
6.270541082164328373e+00,3.652604058289071198e-01
6.304609218436873164e+00,3.647243284060545099e-01
6.338677354709418843e+00,3.641938247201851331e-01
6.372745490981964522e+00,3.636688496260759296e-01
6.406813627254509314e+00,3.631493581689849148e-01
6.440881763527054105e+00,3.626353055846511797e-01
6.474949899799598896e+00,3.621266472992951124e-01
6.509018036072143687e+00,3.616233389296180656e-01
6.543086172344689366e+00,3.611253362828028002e-01
6.577154308617235046e+00,3.606325953565129860e-01
6.611222444889779837e+00,3.601450723388934794e-01
6.645290581162324628e+00,3.596627236085702672e-01
6.679358717434869419e+00,3.591855057346506896e-01
6.713426853707414210e+00,3.587133754767229399e-01
6.747494989979959890e+00,3.582462897848564531e-01
6.781563126252505569e+00,3.577842057996019620e-01
6.815631262525050360e+00,3.573270808519911634e-01
6.849699398797595151e+00,3.568748724635368852e-01
6.883767535070139942e+00,3.564275383462333080e-01
6.917835671342684734e+00,3.559850364025554104e-01
6.951903807615230413e+00,3.555473247254597458e-01
6.985971943887776092e+00,3.551143615983836654e-01
7.020040080160320883e+00,3.546861054952457071e-01
7.054108216432865675e+00,3.542625150804458167e-01
7.088176352705410466e+00,3.538435492088648493e-01
7.122244488977956145e+00,3.534291669258647350e-01
7.156312625250500936e+00,3.530193274672887571e-01
7.190380761523045727e+00,3.526139902594612185e-01
7.224448897795591407e+00,3.522131149191876087e-01
7.258517034068136198e+00,3.518166612537545479e-01
7.292585170340680989e+00,3.514245892609298427e-01
7.326653306613226668e+00,3.510368591289623752e-01
7.360721442885771459e+00,3.506534312365821582e-01
7.394789579158316251e+00,3.502742661530003909e-01
7.428857715430861930e+00,3.498993246379095701e-01
7.462925851703406721e+00,3.495285676414829346e-01
7.496993987975951512e+00,3.491619563043752983e-01
7.531062124248497192e+00,3.487994519577224395e-01
7.565130260521041983e+00,3.484410161231411562e-01
7.599198396793586774e+00,3.480866105127295995e-01
7.633266533066132453e+00,3.477361970290669402e-01
7.667334669338677244e+00,3.473897377652134799e-01
7.701402805611222036e+00,3.470471950047108733e-01
7.735470941883767715e+00,3.467085312215815729e-01
7.769539078156312506e+00,3.463737090803295504e-01
7.803607214428857297e+00,3.460426914359395201e-01
7.837675350701402976e+00,3.457154413338777155e-01
7.871743486973947768e+00,3.453919220100912790e-01
7.905811623246492559e+00,3.450720968910085951e-01
7.939879759519038238e+00,3.447559295935391233e-01
7.973947895791583029e+00,3.444433839250735652e-01
8.008016032064126932e+00,3.441344238834836422e-01
8.042084168336673500e+00,3.438290136571223177e-01
8.076152304609218291e+00,3.435271176248236857e-01
8.110220440881763082e+00,3.432287003559030825e-01
8.144288577154309650e+00,3.429337266101566417e-01
8.178356713426854441e+00,3.426421613378619613e-01
8.212424849699399232e+00,3.423539696797777698e-01
8.246492985971944023e+00,3.420691169671438159e-01
8.280561122244488814e+00,3.417875687216809788e-01
8.314629258517033605e+00,3.415092906555914354e-01
8.348697394789578397e+00,3.412342486715584378e-01
8.382765531062123188e+00,3.409624088627462024e-01
8.416833667334667979e+00,3.406937375128004097e-01
8.450901803607214546e+00,3.404282010958476490e-01
8.484969939879759337e+00,3.401657662764956402e-01
8.519038076152304129e+00,3.399063999098335120e-01
8.553106212424850696e+00,3.396500690414312462e-01
8.587174348697395487e+00,3.393967409073400110e-01
8.621242484969940278e+00,3.391463829340923830e-01
8.655310621242485070e+00,3.388989627387017922e-01
8.689378757515029861e+00,3.386544481286629105e-01
8.723446893787574652e+00,3.384128071019513739e-01
8.757515030060119443e+00,3.381740078470244493e-01
8.791583166332664234e+00,3.379380187428200344e-01
8.825651302605209025e+00,3.377048083587574356e-01
8.859719438877755593e+00,3.374743454547369792e-01
8.893787575150300384e+00,3.372465989811402887e-01
8.927855711422845175e+00,3.370215380788299520e-01
8.961923847695391743e+00,3.367991320791499654e-01
8.995991983967936534e+00,3.365793505039250122e-01
9.030060120240481325e+00,3.363621630654614059e-01
9.064128256513026116e+00,3.361475396665462578e-01
9.098196392785570907e+00,3.359354504004481989e-01
9.132264529058115698e+00,3.357258655509164358e-01
9.166332665330660490e+00,3.355187555921819165e-01
9.200400801603205281e+00,3.353140911889564424e-01
9.234468937875750072e+00,3.351118431964328348e-01
9.268537074148296639e+00,3.349119826602852679e-01
9.302605210420841431e+00,3.347144808166692131e-01
9.336673346693386222e+00,3.345193090922206069e-01
9.370741482965932789e+00,3.343264391040575156e-01
9.404809619238477580e+00,3.341358426597783593e-01
9.438877755511022372e+00,3.339474917574628554e-01
9.472945891783567163e+00,3.337613585856723519e-01
9.507014028056111954e+00,3.335774155234485505e-01
9.541082164328656745e+00,3.333956351403150054e-01
9.575150300601201536e+00,3.332159901962760684e-01
9.609218436873746327e+00,3.330384536418172781e-01
9.643286573146292895e+00,3.328629986179052480e-01
9.677354709418837686e+00,3.326895984559880004e-01
9.711422845691382477e+00,3.325182266779943552e-01
9.745490981963929045e+00,3.323488569963344297e-01
9.779559118236473836e+00,3.321814633138996387e-01
9.813627254509018627e+00,3.320160197240623057e-01
9.847695390781563418e+00,3.318525005106760517e-01
9.881763527054108209e+00,3.316908801480754621e-01
9.915831663326653000e+00,3.315311333010765860e-01
9.949899799599197792e+00,3.313732348249762150e-01
9.983967935871742583e+00,3.312171597655526045e-01
1.001803607214428737e+01,3.310628833590650300e-01
1.005210420841683394e+01,3.309103810322538974e-01
1.008617234468937873e+01,3.307596284023407995e-01
1.012024048096192352e+01,3.306106012770283487e-01
1.015430861723447009e+01,3.304632756545004546e-01
1.018837675350701488e+01,3.303176277234221025e-01
1.022244488977955967e+01,3.301736338629396306e-01
1.025651302605210446e+01,3.300312706426801190e-01
1.029058116232464926e+01,3.298905148227520567e-01
1.032464929859719405e+01,3.297513433537449523e-01
1.035871743486973884e+01,3.296137333767296118e-01
1.039278557114228363e+01,3.294776622232579166e-01
1.042685370741482842e+01,3.293431074153628235e-01
1.046092184368737499e+01,3.292100466655584756e-01
1.049498997995991978e+01,3.290784578768402580e-01
1.052905811623246457e+01,3.289483191426844089e-01
1.056312625250501114e+01,3.288196087470486861e-01
1.059719438877755593e+01,3.286923051643717564e-01
1.063126252505010072e+01,3.285663870595736946e-01
1.066533066132264551e+01,3.284418332880552072e-01
1.069939879759519030e+01,3.283186228956986308e-01
1.073346693386773509e+01,3.281967351188671000e-01
1.076753507014027988e+01,3.280761493844053800e-01
1.080160320641282468e+01,3.279568453096385894e-01
1.083567134268536947e+01,3.278388027023739215e-01
1.086973947895791603e+01,3.277220015608990900e-01
1.090380761523046083e+01,3.276064220739832722e-01
1.093787575150300562e+01,3.274920446208761660e-01
1.097194388777555218e+01,3.273788497713094325e-01
1.100601202404809520e+01,3.272668182854956420e-01
1.104008016032064177e+01,3.271559311141279958e-01
1.107414829659318656e+01,3.270461693983818252e-01
1.110821643286573135e+01,3.269375144699123714e-01
1.114228456913827614e+01,3.268299478508570610e-01
1.117635270541082093e+01,3.267234512538340074e-01
1.121042084168336572e+01,3.266180065819422884e-01
1.124448897795591229e+01,3.265135959287627232e-01
1.127855711422845708e+01,3.264102015783568733e-01
1.131262525050100187e+01,3.263078060052672091e-01
1.134669338677354666e+01,3.262063918745178870e-01
1.138076152304609145e+01,3.261059420416138610e-01
1.141482965931863625e+01,3.260064395525411607e-01
1.144889779559118281e+01,3.259078676437673905e-01
1.148296593186372760e+01,3.258102097422407861e-01
1.151703406813627240e+01,3.257134494653911583e-01
1.155110220440881719e+01,3.256175706211291154e-01
1.158517034068136198e+01,3.255225572078467855e-01
1.161923847695390677e+01,3.254283934144167612e-01
1.165330661322645334e+01,3.253350636201937096e-01
1.168737474949899813e+01,3.252425523950127628e-01
1.172144288577154292e+01,3.251508444991902946e-01
1.175551102204408771e+01,3.250599248835240873e-01
1.178957915831663250e+01,3.249697786892928875e-01
1.182364729458917907e+01,3.248803912482565726e-01
1.185771543086172386e+01,3.247917480826562064e-01
1.189178356713426865e+01,3.247038349052139283e-01
1.192585170340681344e+01,3.246166376191332303e-01
1.195991983967935823e+01,3.245301423180984024e-01
1.199398797595190302e+01,3.244443352862752539e-01
1.202805611222444959e+01,3.243592029983104474e-01
1.206212424849699438e+01,3.242747321193318877e-01
1.209619238476953917e+01,3.241909095049488321e-01
1.213026052104208397e+01,3.241077222012512249e-01
1.216432865731462876e+01,3.240251574448104188e-01
1.219839679358717355e+01,3.239432026626790084e-01
1.223246492985972012e+01,3.238618454723907192e-01
1.226653306613226491e+01,3.237810736819601298e-01
1.230060120240480970e+01,3.237008752898834496e-01
1.233466933867735449e+01,3.236212384851375190e-01
1.236873747494989928e+01,3.235421516471805314e-01
1.240280561122244407e+01,3.234636033459519777e-01
1.243687374749499064e+01,3.233855823418723130e-01
1.247094188376753543e+01,3.233080775858430123e-01
1.250501002004008022e+01,3.232310782192472365e-01
1.253907815631262501e+01,3.231545735739486669e-01
1.257314629258516980e+01,3.230785531722922821e-01
1.260721442885771459e+01,3.230030067271045247e-01
1.264128256513026116e+01,3.229279241416926349e-01
1.267535070140280595e+01,3.228532955098452062e-01
1.270941883767535074e+01,3.227791111158317960e-01
1.274348697394789554e+01,3.227053614344030930e-01
1.277755511022044033e+01,3.226320371307915824e-01
1.281162324649298512e+01,3.225591290607095485e-01
1.284569138276553169e+01,3.224866282703517939e-01
1.287975951903807648e+01,3.224145259963935861e-01
1.291382765531062127e+01,3.223428136659911569e-01
1.294789579158316606e+01,3.222714828967824796e-01
1.298196392785571085e+01,3.222005254968863808e-01
1.301603206412825564e+01,3.221299334649023738e-01
1.305010020040080221e+01,3.220596989899121576e-01
1.308416833667334700e+01,3.219898144514775074e-01
1.311823647294589179e+01,3.219202724196420506e-01
1.315230460921843658e+01,3.218510656549303239e-01
1.318637274549098137e+01,3.217821871083479390e-01
1.322044088176352616e+01,3.217136299213812500e-01
1.325450901803607273e+01,3.216453874259989076e-01
1.328857715430861752e+01,3.215774531446498052e-01
1.332264529058116231e+01,3.215098207902638561e-01
1.335671342685370711e+01,3.214424842662528259e-01
1.339078156312625190e+01,3.213754376665093337e-01
1.342484969939879669e+01,3.213086752754065745e-01
1.345891783567134325e+01,3.212421915677997619e-01
1.349298597194388805e+01,3.211759812090245747e-01
1.352705410821643284e+01,3.211100390548982109e-01
1.356112224448897763e+01,3.210443601517191659e-01
1.359519038076152242e+01,3.209789397362667329e-01
1.362925851703406721e+01,3.209137732358012252e-01
1.366332665330661378e+01,3.208488562680643641e-01
1.369739478957915857e+01,3.207841846412792242e-01
1.373146292585170336e+01,3.207197543541495666e-01
1.376553106212424815e+01,3.206555615958605610e-01
1.379959919839679294e+01,3.205916027460785633e-01
1.383366733466933773e+01,3.205278743749508386e-01
1.386773547094188430e+01,3.204643732431058378e-01
1.390180360721442909e+01,3.204010963016535318e-01
1.393587174348697388e+01,3.203380406921845225e-01
1.396993987975951867e+01,3.202752037467709312e-01
1.400400801603206347e+01,3.202125829879658991e-01
1.403807615230460826e+01,3.201501761288035874e-01
1.407214428857715482e+01,3.200879810727992880e-01
1.410621242484969962e+01,3.200259959139497012e-01
1.414028056112224441e+01,3.199642189367326028e-01
1.417434869739478920e+01,3.199026486161066773e-01
1.420841683366733399e+01,3.198412836175121288e-01
1.424248496993987878e+01,3.197801227968699589e-01
1.427655310621242535e+01,3.197191652005823004e-01
1.431062124248497014e+01,3.196584100655325833e-01
1.434468937875751493e+01,3.195978568190856461e-01
1.437875751503005972e+01,3.195375050790869587e-01
1.441282565130260451e+01,3.194773546538634545e-01
1.444689378757514930e+01,3.194174055422231984e-01
1.448096192384769587e+01,3.193576579334552190e-01
1.451503006012024066e+01,3.192981122073296207e-01
1.454909819639278545e+01,3.192387689340981938e-01
1.458316633266533024e+01,3.191796288744931931e-01
1.461723446893787504e+01,3.191206929797285041e-01
1.465130260521041983e+01,3.190619623914990322e-01
1.468537074148296639e+01,3.190034384419806468e-01
1.471943887775551119e+01,3.189451226538304041e-01
1.475350701402805598e+01,3.188870167401869349e-01
1.478757515030060077e+01,3.188291226046692795e-01
1.482164328657314556e+01,3.187714423413784415e-01
1.485571142284569035e+01,3.187139782348957784e-01
1.488977955911823692e+01,3.186567327602842226e-01
1.492384769539078171e+01,3.185997085830876707e-01
1.495791583166332650e+01,3.185429085593317056e-01
1.499198396793587129e+01,3.184863357355220415e-01
1.502605210420841608e+01,3.184299933486466339e-01
1.506012024048096087e+01,3.183738848261740140e-01
1.509418837675350744e+01,3.183180137860534553e-01
1.512825651302605223e+01,3.182623840367160839e-01
1.516232464929859702e+01,3.182069995770742121e-01
1.519639278557114181e+01,3.181518645965205061e-01
1.523046092184368661e+01,3.180969834749297620e-01
1.526452905811623140e+01,3.180423607826570742e-01
1.529859719438877796e+01,3.179880012805391121e-01
1.533266533066132276e+01,3.179339099198933982e-01
1.536673346693386755e+01,3.178800918425192523e-01
1.540080160320641234e+01,3.178265523806964032e-01
1.543486973947895713e+01,3.177732970571861548e-01
1.546893787575150192e+01,3.177203315852308307e-01
1.550300601202404849e+01,3.176676618685538300e-01
1.553707414829659328e+01,3.176152940013596826e-01
1.557114228456913807e+01,3.175632342683338827e-01
1.560521042084168286e+01,3.175114891446439436e-01
1.563927855711422765e+01,3.174600652959373437e-01
1.567334669338677244e+01,3.174089695783436915e-01
1.570741482965931901e+01,3.173582090384730603e-01
1.574148296593186380e+01,3.173077909134169872e-01
1.577555110220440859e+01,3.172577226307478071e-01
1.580961923847695338e+01,3.172080118085197076e-01
1.584368737474949818e+01,3.171586662552670632e-01
1.587775551102204297e+01,3.171096939700065453e-01
1.591182364729458953e+01,3.170611031422349013e-01
1.594589178356713433e+01,3.170129021519307311e-01
1.597995991983967912e+01,3.169650995695530993e-01
1.601402805611222391e+01,3.169177041560429786e-01
1.604809619238476870e+01,3.168707248628216400e-01
1.608216432865731349e+01,3.168241708317928174e-01
1.611623246492985828e+01,3.167780513953399879e-01
1.615030060120240307e+01,3.167323760763283147e-01
1.618436873747494786e+01,3.166871545881043137e-01
1.621843687374749265e+01,3.166423968344955209e-01
1.625250501002003745e+01,3.165981129098102143e-01
1.628657314629258579e+01,3.165543130988384135e-01
1.632064128256513058e+01,3.165110078768510471e-01
1.635470941883767537e+01,3.164682079096002854e-01
1.638877755511022016e+01,3.164259240533187634e-01
1.642284569138276495e+01,3.163841673547216904e-01
1.645691382765530975e+01,3.163429490510036857e-01
1.649098196392785809e+01,3.163022805698418871e-01
1.652505010020040288e+01,3.162621735293941194e-01
1.655911823647294767e+01,3.162226397382991161e-01
1.659318637274549246e+01,3.161836911956766860e-01
1.662725450901803725e+01,3.161453400911283240e-01
1.666132264529058205e+01,3.161075988047365448e-01
1.669539078156312684e+01,3.160704799070644944e-01
1.672945891783567163e+01,3.160339961591567826e-01
1.676352705410821642e+01,3.159981605125396498e-01
1.679759519038076121e+01,3.159629861092195235e-01
1.683166332665330600e+01,3.159284862816849615e-01
1.686573146292585079e+01,3.158946745529046529e-01
1.689979959919839558e+01,3.158615646363291951e-01
1.693386773547094037e+01,3.158291704358903162e-01
1.696793587174348517e+01,3.157975060460002092e-01
1.700200400801602996e+01,3.157665857515528640e-01
1.703607214428857475e+01,3.157364240279233458e-01
1.707014028056111954e+01,3.157070355409674622e-01
1.710420841683366788e+01,3.156784351470227068e-01
1.713827655310621267e+01,3.156506378929072598e-01
1.717234468937875747e+01,3.156236590159209321e-01
1.720641282565130226e+01,3.155975139438437216e-01
1.724048096192384705e+01,3.155722182949380339e-01
1.727454909819639184e+01,3.155477878779467393e-01
1.730861723446894018e+01,3.155242386920935060e-01
1.734268537074148497e+01,3.155015869270839657e-01
1.737675350701402976e+01,3.154798489631041591e-01
1.741082164328657456e+01,3.154590413708220908e-01
1.744488977955911935e+01,3.154391809113859524e-01
1.747895791583166414e+01,3.154202845364257879e-01
1.751302605210420893e+01,3.154023693880525503e-01
1.754709418837675372e+01,3.153854527988580458e-01
1.758116232464929851e+01,3.153695522919159333e-01
1.761523046092184330e+01,3.153546855807803362e-01
1.764929859719438809e+01,3.153408705694866199e-01
1.768336673346693289e+01,3.153281253525519467e-01
1.771743486973947768e+01,3.153164682149735554e-01
1.775150300601202247e+01,3.153059176322309254e-01
1.778557114228456726e+01,3.152964922702837791e-01
1.781963927855711205e+01,3.152882109855734138e-01
1.785370741482965684e+01,3.152810928250221467e-01
1.788777555110220163e+01,3.152751570260340364e-01
1.792184368737474998e+01,3.152704230164932175e-01
1.795591182364729477e+01,3.152669104147653445e-01
1.798997995991983956e+01,3.152646390296979795e-01
1.802404809619238435e+01,3.152636288606189829e-01
1.805811623246492914e+01,3.152639000973371797e-01
1.809218436873747393e+01,3.152654731201438021e-01
1.812625250501002228e+01,3.152683684998096592e-01
1.816032064128256707e+01,3.152726069975874124e-01
1.819438877755511186e+01,3.152782095652116867e-01
1.822845691382765665e+01,3.152851973448967948e-01
1.826252505010020144e+01,3.152935916693389018e-01
1.829659318637274623e+01,3.153034140617152481e-01
1.833066132264529102e+01,3.153146862356844826e-01
1.836472945891783581e+01,3.153274300953858855e-01
1.839879759519038060e+01,3.153416677354402564e-01
1.843286573146292540e+01,3.153574214409497478e-01
1.846693386773547019e+01,3.153747136874967549e-01
1.850100200400801498e+01,3.153935671411454145e-01
1.853507014028055977e+01,3.154140046584415491e-01
1.856913827655310456e+01,3.154360492864110577e-01
1.860320641282564935e+01,3.154597242625619136e-01
1.863727454909819414e+01,3.154850530148823884e-01
1.867134268537073893e+01,3.155120591618425507e-01
1.870541082164328373e+01,3.155407665123937111e-01
1.873947895791583207e+01,3.155711990659671451e-01
1.877354709418837686e+01,3.156033810124769801e-01
1.880761523046092165e+01,3.156373367323167534e-01
1.884168336673346644e+01,3.156730907963631316e-01
1.887575150300601123e+01,3.157106679659721360e-01
1.890981963927855602e+01,3.157500931929812515e-01
1.894388777555110437e+01,3.157913916197101489e-01
1.897795591182364916e+01,3.158345885789591856e-01
1.901202404809619040e+01,3.158797095940087396e-01
1.904609218436873874e+01,3.159267803786216522e-01
1.908016032064128353e+01,3.159758268370416734e-01
1.911422845691382832e+01,3.160268750639932955e-01
1.914829659318637312e+01,3.160799513446826414e-01
1.918236472945891791e+01,3.161350821547962431e-01
1.921643286573146270e+01,3.161922941605025406e-01
1.925050100200400749e+01,3.162516142184509382e-01
1.928456913827655228e+01,3.163130693757715273e-01
1.931863727454909707e+01,3.163766868700760293e-01
1.935270541082164186e+01,3.164424941294574634e-01
1.938677354709418665e+01,3.165105187724891467e-01
1.942084168336673144e+01,3.165807886082264710e-01
1.945490981963927979e+01,3.166533316362056816e-01
1.948897795591182458e+01,3.167281760464439877e-01
1.952304609218436937e+01,3.168053502194392301e-01
1.955711422845691416e+01,3.168848827261717682e-01
1.959118236472945895e+01,3.169668023281022040e-01
1.962525050100200374e+01,3.170511379771717153e-01
1.965931863727454854e+01,3.171379188158042206e-01
1.969338677354709333e+01,3.172271741769035480e-01
1.972745490981963812e+01,3.173189335838544900e-01
1.976152304609218291e+01,3.174132267505245242e-01
1.979559118236472770e+01,3.175100835812606492e-01
1.982965931863727249e+01,3.176095341708909947e-01
1.986372745490982084e+01,3.177116088047266529e-01
1.989779559118236563e+01,3.178163379585578485e-01
1.993186372745491042e+01,3.179237522986569919e-01
1.996593186372745521e+01,3.180338826817771247e-01
2.000000000000000000e+01,3.181467601551531410e-01
